iter	Passed	Remaining
1312	103772	7799708
1313	103852	7799698
1314	103922	7798945
1315	103996	7798446
1316	104071	7798073
1317	104166	7799213
1318	104240	7798779
1319	104321	7798797
1320	104397	7798491
1321	104469	7797890
1322	104543	7797457
1323	104622	7797393
1324	104691	7796580
1325	104762	7795865
1326	104840	7795748
1327	104919	7795681
1328	104997	7795518
1329	105081	7795747
1330	105158	7795539
1331	105228	7794801
1332	105306	7794689
1333	105380	7794213
1334	105452	7793614
1335	105531	7793500
1336	105602	7792853
1337	105675	7792335
1338	105754	7792252
1339	105826	7791672
1340	105911	7792028
1341	105989	7791876
1342	106056	7790958
1343	106124	7790075
1344	106213	7790693
1345	106285	7790123
1346	106361	7789849
1347	106434	7789311
1348	106510	7789004
1349	106583	7788508
1350	106658	7788132
1351	106734	7787809
1352	106819	7788212
1353	106890	7787568
1354	106967	7787343
1355	107041	7786894
1356	107116	7786480
1357	107194	7786335
1358	107272	7786229
1359	107355	7786461
1360	107430	7786074
1361	107499	7785266
1362	107579	7785294
1363	107658	7785191
1364	107736	7785079
1365	107808	7784496
1366	107877	7783650
1367	107950	7783167
1368	108024	7782767
1369	108101	7782504
1370	108173	7781926
1371	108251	7781764
1372	108326	7781405
1373	108398	7780849
1374	108484	7781295
1375	108557	7780790
1376	108634	7780549
1377	108726	7781430
1378	108804	7781327
1379	108880	7781021
1380	108950	7780293
1381	109021	7779675
1382	109097	7779341
1383	109177	7779397
1384	109251	7778960
1385	109329	7778790
1386	109401	7778249
1387	109483	7778355
1388	109563	7778388
1389	109631	7777558
1390	109706	7777140
1391	109782	7776916
1392	109856	7776477
1393	109931	7776112
1394	110007	7775849
1395	110082	7775465
1396	110161	7775419
1397	110227	7774421
1398	110300	7773948
1399	110377	7773696
1400	110456	7773649
1401	110540	7773973
1402	110617	7773704
1403	110688	7773100
1404	110759	7772494
1405	110837	7772308
1406	110912	7771972
1407	110990	7771858
1408	111062	7771304
1409	111141	7771229
1410	111211	7770516
1411	111285	7770132
1412	111360	7769813
1413	111431	7769137
1414	111510	7769088
1415	111593	7769288
1416	111676	7769544
1417	111752	7769249
1418	111840	7769817
1419	111912	7769255
1420	111987	7768939
1421	112054	7768039
1422	112152	7769243
1423	112221	7768522
1424	112290	7767748
1425	112365	7767425
1426	112449	7767655
1427	112519	7766965
1428	112590	7766374
1429	112670	7766351
1430	112749	7766297
1431	112821	7765797
1432	112896	7765419
1433	112970	7765047
1434	113054	7765287
1435	113137	7765485
1436	113207	7764849
1437	113284	7764664
1438	113361	7764457
1439	113438	7764227
1440	113509	7763608
1441	113583	7763192
1442	113654	7762627
1443	113729	7762294
1444	113803	7761864
1445	113886	7762082
1446	113959	7761633
1447	114032	7761153
1448	114099	7760286
1449	114171	7759733
1450	114265	7760692
1451	114339	7760305
1452	114412	7759793
1453	114489	7759647
1454	114567	7759502
1455	114643	7759218
1456	114717	7758792
1457	114791	7758409
1458	114866	7758126
1459	114944	7757995
1460	115015	7757339
1461	115089	7756978
1462	115168	7756893
1463	115249	7756994
1464	115346	7758144
1465	115425	7758083
1466	115493	7757301
1467	115578	7757598
1468	115651	7757150
1469	115722	7756587
1470	115793	7755984
1471	115868	7755618
1472	115943	7755309
1473	116014	7754704
1474	116090	7754431
1475	116166	7754159
1476	116244	7754053
1477	116328	7754359
1478	116400	7753822
1479	116478	7753662
1480	116557	7753604
1481	116627	7752997
1482	116705	7752853
1483	116779	7752456
1484	116850	7751846
1485	116941	7752582
1486	117018	7752434
1487	117089	7751814
1488	117162	7751382
1489	117236	7750955
1490	117312	7750718
1491	117395	7750908
1492	117507	7753061
1493	117580	7752589
1494	117658	7752451
